danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name
0.812,0.626,7,-7.504,1,0.366,0.169,0,0.534,0.505,100.968,audio_features,4EUz9Z4c75yFjWri4Xs6Ao,spotify:track:4EUz9Z4c75yFjWri4Xs6Ao,https://api.spotify.com/v1/tracks/4EUz9Z4c75yFjWri4Xs6Ao,https://api.spotify.com/v1/audio-analysis/4EUz9Z4c75yFjWri4Xs6Ao,299640,4,"Don't Trip (feat. Ice Cube, Dr. Dre & will.i.am)"
0.669,0.764,0,-6.618,1,0.437,0.202,0,0.421,0.766,111.805,audio_features,7esm6MuqZZouZEeurpJrnc,spotify:track:7esm6MuqZZouZEeurpJrnc,https://api.spotify.com/v1/tracks/7esm6MuqZZouZEeurpJrnc,https://api.spotify.com/v1/audio-analysis/7esm6MuqZZouZEeurpJrnc,251587,5,Standing On Ferraris (feat. Diddy)
0.535,0.542,4,-8.343,0,0.355,0.123,0,0.293,0.508,83.329,audio_features,4MFERCC9bsRtjB708k2992,spotify:track:4MFERCC9bsRtjB708k2992,https://api.spotify.com/v1/tracks/4MFERCC9bsRtjB708k2992,https://api.spotify.com/v1/audio-analysis/4MFERCC9bsRtjB708k2992,194387,4,Made In America (feat. Mvrcus Blvck)
0.56,0.55,2,-7.831,1,0.315,0.198,0,0.215,0.154,86.362,audio_features,3f8fgiq7LuCHdZhGYak99o,spotify:track:3f8fgiq7LuCHdZhGYak99o,https://api.spotify.com/v1/tracks/3f8fgiq7LuCHdZhGYak99o,https://api.spotify.com/v1/audio-analysis/3f8fgiq7LuCHdZhGYak99o,179920,4,Hashtag (feat. Jelly Roll)
0.463,0.633,5,-7.566,0,0.309,0.114,0,0.711,0.215,167.918,audio_features,1f0OFBM0dVYcchj9kIvTI0,spotify:track:1f0OFBM0dVYcchj9kIvTI0,https://api.spotify.com/v1/tracks/1f0OFBM0dVYcchj9kIvTI0,https://api.spotify.com/v1/audio-analysis/1f0OFBM0dVYcchj9kIvTI0,251600,4,"Circles (feat. Q-Tip, Eric Bellinger & Sha Sha)"
0.431,0.926,9,-5.795,1,0.302,0.246,0,0.521,0.454,102.33,audio_features,68f5QOWj9lq7llMITTa7bd,spotify:track:68f5QOWj9lq7llMITTa7bd,https://api.spotify.com/v1/tracks/68f5QOWj9lq7llMITTa7bd,https://api.spotify.com/v1/audio-analysis/68f5QOWj9lq7llMITTa7bd,124213,4,Uncle Skit
0.484,0.46,3,-10.12,0,0.608,0.169,0,0.128,0.515,159.551,audio_features,1yMQslaMsOoei14TfGwkk2,spotify:track:1yMQslaMsOoei14TfGwkk2,https://api.spotify.com/v1/tracks/1yMQslaMsOoei14TfGwkk2,https://api.spotify.com/v1/audio-analysis/1yMQslaMsOoei14TfGwkk2,141267,4,"New York, New York"
0.801,0.521,4,-9.871,0,0.28,0.0136,0,0.179,0.412,108.025,audio_features,6FyDii5Aec6cNcjLzvS37z,spotify:track:6FyDii5Aec6cNcjLzvS37z,https://api.spotify.com/v1/tracks/6FyDii5Aec6cNcjLzvS37z,https://api.spotify.com/v1/audio-analysis/6FyDii5Aec6cNcjLzvS37z,334360,4,100 (feat. Drake)
0.495,0.952,10,-4.818,0,0.368,0.067,0,0.287,0.551,84.438,audio_features,1NGjDByrngiuW5maj9dB7H,spotify:track:1NGjDByrngiuW5maj9dB7H,https://api.spotify.com/v1/tracks/1NGjDByrngiuW5maj9dB7H,https://api.spotify.com/v1/audio-analysis/1NGjDByrngiuW5maj9dB7H,275947,4,Crenshaw/80s and Cocaine (feat. Anderson .Paak & Sonyae)
0.46,0.723,1,-7.823,1,0.766,0.232,0,0.554,0.542,85.914,audio_features,0vOKTfmSiwvmkOboiuHWXy,spotify:track:0vOKTfmSiwvmkOboiuHWXy,https://api.spotify.com/v1/tracks/0vOKTfmSiwvmkOboiuHWXy,https://api.spotify.com/v1/audio-analysis/0vOKTfmSiwvmkOboiuHWXy,305467,4,Gang Bang Anyway (feat. Jay Rock & ScHoolboy Q)
0.656,0.615,8,-8.553,0,0.397,0.181,0,0.816,0.43,90.378,audio_features,48wJTaJABmEjkkQ0H7s0ZO,spotify:track:48wJTaJABmEjkkQ0H7s0ZO,https://api.spotify.com/v1/tracks/48wJTaJABmEjkkQ0H7s0ZO,https://api.spotify.com/v1/audio-analysis/48wJTaJABmEjkkQ0H7s0ZO,361440,4,The Ghetto (feat. Nas & will.i.am)
