"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track_name"
"83",0.526,0.803,0,-9.275,1,0.428,0.0297,0.000407,0.111,0.393,152.453,"audio_features","5lM1GJ8XjHOOsv7tEeEYkT","spotify:track:5lM1GJ8XjHOOsv7tEeEYkT","https://api.spotify.com/v1/tracks/5lM1GJ8XjHOOsv7tEeEYkT","https://api.spotify.com/v1/audio-analysis/5lM1GJ8XjHOOsv7tEeEYkT",223616,4,"Los Hermanos"
"84",0.587,0.411,8,-8.758,1,0.0475,0.185,0,0.273,0.53,140.277,"audio_features","4O2bxKTnK9En7OPw8kGDDF","spotify:track:4O2bxKTnK9En7OPw8kGDDF","https://api.spotify.com/v1/tracks/4O2bxKTnK9En7OPw8kGDDF","https://api.spotify.com/v1/audio-analysis/4O2bxKTnK9En7OPw8kGDDF",175125,4,"Amor Fugaz"
"85",0.651,0.834,10,-5.057,1,0.0929,0.359,0,0.0771,0.957,81.668,"audio_features","1KDAP13YogPGAxOZOwsNuU","spotify:track:1KDAP13YogPGAxOZOwsNuU","https://api.spotify.com/v1/tracks/1KDAP13YogPGAxOZOwsNuU","https://api.spotify.com/v1/audio-analysis/1KDAP13YogPGAxOZOwsNuU",199297,4,"Zutano"
"86",0.864,0.765,8,-3.604,1,0.11,0.432,0,0.386,0.724,104.998,"audio_features","2g12ZAzSIybDe6QC3w9DYl","spotify:track:2g12ZAzSIybDe6QC3w9DYl","https://api.spotify.com/v1/tracks/2g12ZAzSIybDe6QC3w9DYl","https://api.spotify.com/v1/audio-analysis/2g12ZAzSIybDe6QC3w9DYl",235328,3,"El Doctor"
"87",0.602,0.947,1,-5.642,1,0.115,0.00842,6.41e-05,0.123,0.883,184.976,"audio_features","6NG2IIXZfC5Notpz0GIODU","spotify:track:6NG2IIXZfC5Notpz0GIODU","https://api.spotify.com/v1/tracks/6NG2IIXZfC5Notpz0GIODU","https://api.spotify.com/v1/audio-analysis/6NG2IIXZfC5Notpz0GIODU",213000,4,"The Ketchup Song (Aserejé) - Spanish Version"
"88",0.584,0.905,10,-0.042,1,0.0467,0.653,0.00126,0.251,0.978,158.054,"audio_features","3f3GsiFkED0t15c3xi6pzv","spotify:track:3f3GsiFkED0t15c3xi6pzv","https://api.spotify.com/v1/tracks/3f3GsiFkED0t15c3xi6pzv","https://api.spotify.com/v1/audio-analysis/3f3GsiFkED0t15c3xi6pzv",152253,3,"Perro Bichi Y Mujeriego"
"89",0.724,0.531,5,-4.208,1,0.0373,0.832,0.00051,0.129,0.952,115.57,"audio_features","3w62pJUmyNmkBdosJoj6RN","spotify:track:3w62pJUmyNmkBdosJoj6RN","https://api.spotify.com/v1/tracks/3w62pJUmyNmkBdosJoj6RN","https://api.spotify.com/v1/audio-analysis/3w62pJUmyNmkBdosJoj6RN",169131,4,"Fruta Prohibida"
"90",0.573,0.496,1,-5.44,0,0.0322,0.571,0,0.176,0.299,79.947,"audio_features","2HFrlVZI1PHNwfNiIC8mkb","spotify:track:2HFrlVZI1PHNwfNiIC8mkb","https://api.spotify.com/v1/tracks/2HFrlVZI1PHNwfNiIC8mkb","https://api.spotify.com/v1/audio-analysis/2HFrlVZI1PHNwfNiIC8mkb",239841,3,"Está Dañada - Remix"
"91",0.828,0.581,11,-9.909,1,0.0725,0.0378,0,0.103,0.843,143.995,"audio_features","2CoMYp2uIKsT09nreEZnZn","spotify:track:2CoMYp2uIKsT09nreEZnZn","https://api.spotify.com/v1/tracks/2CoMYp2uIKsT09nreEZnZn","https://api.spotify.com/v1/audio-analysis/2CoMYp2uIKsT09nreEZnZn",155060,4,"BENDICIONES"
"92",0.781,0.452,8,-9.163,1,0.0366,0.423,0.000682,0.071,0.972,120.056,"audio_features","16240HVz8WRk5I0ddFDLFS","spotify:track:16240HVz8WRk5I0ddFDLFS","https://api.spotify.com/v1/tracks/16240HVz8WRk5I0ddFDLFS","https://api.spotify.com/v1/audio-analysis/16240HVz8WRk5I0ddFDLFS",183533,4,"Dos Hojas Sin Rumbo"
